ID,Title,Version,Status,Priority,Severity,Type,Reproducibility,Reporter,Assignee,Description,"Expected results","Steps to reproduce",Device,Tags,Comments,"Created at","Updated at"
103,"Out of stock products are visible in widgets. ",desktop-prod,Closed,High,Critical,Functional,Always,archana,"Varun Bhardwaj","1. Out of stock products are getting visible in widget.
2. Add to cart button is getting display for out of stock products.
3. when user clicks on it ""Add to cart"" button changes to ""Added to cart""
And, cart icon is getting highlight with zero number.

","Out of stock products should not be visible in widgets.
","1. Open shop home page; 2. Open widget ""Recommendations for you in kajal and kohl""; 3. Mouse hover  on product ""Elle 18 kajal (3ml) ""; 4. Click on ""Add to cart"" button","Windows PC",,0,"17/08/2016 06:47:07 ","19/05/2017 09:18:28 "
104,"0 units left message getting visible for product and when user add it in cart subtotal is visible as ""0"" .",desktop-prod,Closed,Medium,Critical,Functional,Always,archana,"Varun Bhardwaj","1. Low stock alert: 0 units left message is getting visible
2. Subtotal is displayed as zero when user add product in cart.
3. Also, user is able to purchase same product with zero amount.
when user adds one more products with it.
if user adds only ""0 unit left"" product cart is visible as empty.

Refer link for product : 
http://purplle.com/product/patanjali-haldi-chandan-kanti-body-cleanser-150-g-pack-of-2?"," 0 units left message should not be visible for the product.
if product is not present in stock , it should be visible as out of stock.
","1. Add any product in cart; 2. Open product Pantajali haldi kanti body cleanser (150g) pack of two.and add to cart; 3. Open cart page and check it; 4. Make cod  order and check it","Windows PC",,1,"17/08/2016 08:48:51 ","18/10/2016 06:12:13 "
106,"After posting review, time is visible as  today",desktop-prod,Closed,Medium,Minor,Visual,Always,archana,"Jugal SA","Review posted time is viisble as today.
","App and mobile browser shows it as ""just now"", ""5 mins ago""
It should be unifrom on all platform.
","1. open product details page; 2. Post review","Windows PC",,2,"17/08/2016 09:14:29 ","17/10/2016 12:41:05 "
107,"User is unable to dislike review once it liked earlier,",desktop-prod,Closed,High,Major,Functional,Always,archana,"Jugal SA","user is unble to unlike reveiw if its already liked by the same user","User should able either like or dislike the same review. ","1. Open product details page; 2. open review tab.; 3. Like any review with cliking on like button; 4. Now click on unlike button","Windows PC",,3,"17/08/2016 09:18:32 ","17/10/2016 12:41:20 "
108,"""Thanks for your feedback""  message is getting display even user is not posting rating or review from my orders page.",desktop-prod,Closed,Medium,Major,Functional,Always,archana,"Jugal SA","""Thanks for your feedback"" message is getting display even user is not posting rating or review from my orders page.","User should not allowed to post review without rating.","1. Open  My orders page.; 2. Click on Write a review.; 3. Post a review without entering rating and review","Windows PC",,2,"17/08/2016 09:58:43 ","17/10/2016 12:41:31 "
109,"Review is getting post with  1 character.",desktop-prod,Closed,Medium,Major,Functional,Always,archana,"Rahul Asati","Review is getting post with less than 4 chracters. 
","Review should get post with min 4 charachters.","1. Post review with one character.","Windows PC",,0,"17/08/2016 10:13:19 ","04/10/2016 09:24:04 "
112,"User's profile should get open when user click on other users  image (i.e. profile) from reviews.",desktop-prod,Closed,Medium,Major,Functional,Always,archana,"Jugal SA","User's profile should get open when user click on other users  image (i.e. profile) from reviews.","user's profile should get open.","1. Open eview tab; 2. Click on user's image from posted review","Windows PC",,3,"17/08/2016 11:08:29 ","17/10/2016 12:42:06 "
113,"Order history page is shpwing message as ""No"" instead of ""No orders"". ",desktop-prod,Resolved,Low,Minor,Visual,Always,archana,"Varun Bhardwaj","when newly registered user open order history page notification msg is displayed as ""No""","Meanigful message should be displayed under order history page when user is not having order history.","1. Open order hisoty page (with newly registered user)","Windows PC",,1,"19/08/2016 05:34:27 ","09/01/2017 10:45:15 "
114,"Notification message is not displayed when newly registered user opens ""Love"" page from profile",desktop-prod,Closed,Low,Minor,Visual,Always,archana,"Varun Bhardwaj","No any message is getting display when newly registered user opens Profile >Activity >Love page. 
","Notification message should be displayed. As when user opens other tabs like review and followers ,following, stories page.","1. open My profile>> Acitivity>> Love","Windows Phone",,1,"19/08/2016 06:15:45 ","19/05/2017 13:49:34 "
116,"when user enters special characters in the search textbox, and clicks on search, no message is coming",desktop-prod,Closed,High,Major,"User input data",Always,"Nirali Thakkar","Varun Bhardwaj","when user enters special characters in the search textbox, and clicks on search, no message is coming","it should display error message as ""no results found""","1. open site; 2. search for ""#$%%%""; 3. click on search; 4. no message is coming","Windows PC Lenovo Generic/All Windows 8 Chrome Latest",,0,"19/08/2016 06:48:44 ","19/05/2017 09:18:09 "
117,"when user searches for ""(&"" and clicks on search. & is truncated",desktop-prod,Closed,Medium,Trivial,Functional,Always,"Nirali Thakkar",vshall20,"when user searches for ""(&"" and clicks on search. & is truncated","It should not truncate & and display error message as ""no resuts found""","1. open site; 2. search for (""&""; 3. click on search; 4. & is truncated","Windows PC Lenovo Generic/All Windows 8 Chrome Latest",,0,"19/08/2016 06:55:34 ","04/10/2016 09:38:33 "
118,"Duplicate address is getting generate even user is not entering any values under fields",desktop-prod,Resolved,High,Major,Functional,Always,archana,"Varun Bhardwaj","Refer video :  http://screencast.com/t/SezcbJvTFf","Clone address should not be generate.
User should not allowed to submit details without entering mandtory fields.","1. Register new user. Open Address page from check out.; 2. Enter all mandtory details  and save it.; 3. Click on Change Address then click on Add new address.; 4. Click on Save and continue. (witahout entering any details)","Windows PC",,0,"19/08/2016 07:02:17 ","10/01/2017 14:37:47 "
119,"User is unable to understand mandatory fields under address page.",desktop-prod,New,Low,Major,Usability,Always,archana,"Varun Bhardwaj","1. When user opens address page from checkout , mandtory fields are not shown.  User is unable to understand which fields needs to be filled. 
2. When user Create new address and again tries to add new address, 
Save and continue button is getting enable. (even user is not entering mandtory fileds.)","Mandtory fields should be shown by astrick or so.
","1. Open address page from checkout and check for it; 2. Now create one address; 3. And again try to add new address and check. (save and conitnue button is enable)","Windows PC",,0,"19/08/2016 07:35:24 ","04/10/2016 09:46:20 "
120,"city is not getting auto generate even after entring valid pincode.",desktop-prod,Closed,Medium,Minor,"User input data",Sometimes,archana,"Varun Bhardwaj","Refer Video :http://screencast.com/t/eIhuHanubG","City should get pop up when user enters pin code.
","1. Open address page.; 2. Enter pin code","Windows PC",,0,"19/08/2016 09:10:59 ","04/10/2016 09:48:03 "
132,"'Review posting time should be displayed as "" Just now"" for time ""0 to 59 sec",desktop-prod,Closed,Medium,Minor,Functional,Always,archana,"Jugal SA","Review posting time displayed as ""8 sec ago or so"" for recently posted review.","Review posting time should be displayed as "" Just now"" for time ""0 to 59 sec""","1. Open product details page.; 2. Post Review.","Windows PC",,1,"22/08/2016 06:18:09 ","17/10/2016 12:42:57 "
133,"Review posting time is getting change , sometimes its getting visible as date and sometimes its visble as time.",desktop-prod,Closed,High,Major,Functional,Always,archana,"Jugal SA","Actula result : sometimes recently posted review  is showing time in mins format and sometimes it is showing it as date format.
when user post review for the first time it is viisble in time format. when user post rating and then review , it is visible in date format.

Refer video: http://screencast.com/t/l9L1U5usah","For recenlty posted review time should be visible as  "" just now"", ""2 mins ago "" and so on.","1. Open browser / app.; 2. Post review.; 3. Post only rating.; 4. Again post review.","Windows PC",,0,"22/08/2016 10:55:22 ","17/10/2016 12:43:16 "
134,"Rating stars are pre filled when user has already submitted review for it",desktop-prod,Closed,Medium,Minor,Functional,Always,archana,"Jugal SA","Rating stars are prefilled when user tries updates review . 
","Rating stars should not be prefilled.
When user clicks on write a review , it should not be prefilled.
","1. open product details page.; 2. Submit review.; 3. Again click on Write a review.","Windows PC",,0,"22/08/2016 11:48:44 ","18/10/2016 06:15:43 "
135,"follow button is not higlighted under review and rating tab",desktop-prod,Resolved,Medium,Major,Visual,Always,archana,naved,,"Follow button should  be highlighted.
","1. Open review tab","Windows PC",,0,"22/08/2016 11:58:56 ","07/12/2016 07:22:41 "
136,"Certified buyer tab is not getting visible for reviews.",desktop-prod,Closed,Medium,Major,Visual,Always,archana,"Jugal SA",,"when user sort as per certified buyer, certified buyer tab should be viisble for eviews.","1. Open product details page ; 2. Sort review by certified buyer","Windows PC",,1,"22/08/2016 12:51:40 ","17/10/2016 12:44:28 "
138,"when logged out user tries to write review from product details page, user is redirecting to home page after login.",desktop-prod,Closed,High,Major,Functional,Always,archana,"Jugal SA","when logged out user tries to write review from product details page, user is redirecting to home page instead of prodcut details page after login. ","when user clicks on write a review with logged out user, user should redirected to write a review page after doing login.
","1. Open product details page; 2. Click on Write a review with logged out user; 3. Then login","Windows PC",,1,"23/08/2016 08:38:47 ","17/10/2016 12:57:05 "
139,"when user adds product in wishlist, added to wishlist notification should get display.",desktop-prod,Closed,Medium,Major,Usability,Always,archana,"Varun Bhardwaj","Refer video: http://screencast.com/t/Khk0I41x74Rl

Notification messages are not getting display after adding and removing product from wishlist under story details page.
Also black strip is  getting visible when user clicks on add to wishlsit icon.","when user adds product in wishlist, ""added to wishlist 
"" notification should get display.
Also when user removed product from wishlist ""removed from wishlist"" message should get display.","1. Open story detail page; 2. click on wishlist icon,","Windows PC",,0,"23/08/2016 08:44:05 ","19/05/2017 08:05:25 "
140,"Dislike button is not funcational  when logged out user tries to click on dislike button of review.",desktop-prod,Closed,Medium,Minor,Functional,Always,archana,"Jugal SA",,"User should asked for log in when logged out clicks on dislike button. ","1. open product details page; 2. Click on dislike button of review with logged out user","Windows PC",,1,"23/08/2016 10:48:07 ","17/10/2016 12:58:55 "
143,"Close button is not working under add new address page.",desktop-prod,Closed,Medium,Minor,Functional,Always,archana,"Varun Bhardwaj",,"Close button should be functional. 
","1. Open address page.; 2. Click on add new address.; 3. Click on close button.","Windows PC",,0,"23/08/2016 11:30:46 ","04/10/2016 10:04:10 "
145,"user is redirecting to profile page after changing password",desktop-prod,Closed,Medium,Minor,Visual,Always,archana,"Varun Bhardwaj","User is redirecting to profile page after changing password.","User should stay on same page instead of redirecting it to profile page.","1. open change password tab.; 2. change the passowrd","Windows PC",,0,"23/08/2016 11:57:13 ","04/10/2016 10:08:29 "
147,"Gift wrap is allowed to move in wishlsit",desktop-prod,Resolved,Medium,Minor,Usability,Always,archana,"Varun Bhardwaj",,"Move to wishlist option should not be present for gift wrap. ","1. Open cart page.; 2. add gift wrap; 3. click on move to wishlist","Windows PC",,0,"23/08/2016 12:42:18 ","10/01/2017 14:21:53 "
148,"Drop down box is not present for date while selecting dates for salons.",desktop-prod,"Not a Bug",Medium,Minor,Usability,Always,archana,"Varun Bhardwaj","Drop down box is not present for date while selecting dates for salons.","Drop down box should be present to select date.
","1. Open purplle teseting salon chembur.; 2. Add service.; 3. Check date amd time selection page.","Windows PC",,0,"24/08/2016 06:52:52 ","19/05/2017 08:04:53 "
149,"Remove coupon option is not visible under salon bok page.",desktop-prod,"Not a Bug",High,Major,Functional,Always,archana,"Varun Bhardwaj",,"User should able to remove coupon.","1. Open purplle salon chembur.; 2. Add services.; 3. Apply coupon code.","Windows PC",,0,"24/08/2016 07:39:23 ","19/05/2017 08:03:48 "
151,"success message is not coming after resetting the password",desktop-prod,Closed,High,Major,Functional,Always,"Nirali Thakkar","Varun Bhardwaj","success message is not coming after resetting the password","success message should come as ""password changed successfully""",,"Windows PC Lenovo Generic/All Windows 8",,0,"26/08/2016 12:45:10 ","04/10/2016 10:24:15 "
159,"filter options are geting disappear when user selects filter options and then deselect it.",desktop-prod,"Not a Bug",Medium,Minor,Usability,Always,archana,"Varun Bhardwaj","when user deselects filter options , other options are getting disappear.","All options of filter should always be visible independant of selection or deselection of filter options.","1. Open bath and body section; 2. Select category as ""body butter"", ""body lotion""; 3. Again deselect those option ""body butter"", ""body lotion"".","Windows PC",,0,"30/08/2016 06:10:17 ","18/05/2017 07:08:47 "
164,"Sticky banner is coming as transparent, the backside text is shown",desktop-prod,Closed,Low,Minor,Visual,Always,vikram1,"Varun Bhardwaj","When user scrolls down the page, the back text which is on the page is getting shown on stick banner -- see the screenshot","Banner shouldn't be transparent ","1. Go home page; 2. Scroll down to the sticky banner; 3. See  the text on the page is shown","Windows PC",,0,"30/08/2016 14:08:42 ","04/10/2016 10:26:02 "
175,"Sign in and Start here is not clickable in book tab ",desktop-prod,Closed,Critical,Critical,Functional,Always,"Nirali Thakkar","Varun Bhardwaj","Sign in and Start here is not clickable in book tab ","Sign in and Start here should be clickable","1. open site; 2. click on book; 3. click on sign in or start here","Windows PC Lenovo Generic/All Windows 8",,1,"02/09/2016 09:39:58 ","07/09/2016 10:55:58 "
202,"Review After Purchase Pop up",desktop-prod,Closed,High,Major,Functional,Always,"Nirali Thakkar","Varun Bhardwaj","On the review pop up (after purchase), option to rate the product is missing on desktop. And user is not able to submit as ratings are not given.
","ratings should be present",,"Windows PC Lenovo Generic/All Windows 8",,0,"06/09/2016 11:59:04 ","04/10/2016 10:29:06 "
203,"Birthday Banner issue",desktop-prod,New,Medium,Major,Functional,Always,"Nirali Thakkar","Varun Bhardwaj","If the back banner is cancelled then the error message pop up remains on the screen for birthday and weekly offers.

","If the parent pop up is closed then all the error pop ups should be cancelled in these two cases.",,"Windows PC Lenovo Generic/All",,0,"06/09/2016 12:04:13 ","06/09/2016 12:14:55 "
207,"when user applies filter on brand, and then on category, count of the products are coming incoorect",desktop-prod,"Not a Bug",High,Major,Functional,Always,"Nirali Thakkar","Varun Bhardwaj","when user applies filter on brand, and then on category, count of the products are coming incorrect

","count should be proper","1. open site; 2. click on any category; 3. select any brand; 4. now select any category; 5. the count of the number of product is incorrect","Windows PC Lenovo Generic/All Windows 8 Chrome Latest",,0,"07/09/2016 09:54:50 ","14/09/2016 14:13:17 "
230,"When a user navigates to Order History page from 'Your Orders', Order History tab is not highlighted. ",desktop-prod,Closed,High,Major,Functional,Always,vikram1,"Varun Bhardwaj","When a user navigates to Order History page from 'Your Orders', Order History tab is not highlighted. Only when the user clicks on it, it is highlighted.","Order History tab should get  highlighted.","1. Go to purplle.com; 2. Go to 'hello sign in'  ; 3. Click on 'your orders' from drop down of 'hello sign in'; 4. See order history tab is not shown highlighted","Windows PC",,1,"08/09/2016 10:07:50 ","07/10/2016 10:52:18 "
248,"Widgets horizontal scrolling issue.",desktop-prod,Closed,Critical,Critical,Functional,Always,"Nikhil Teredesai",salman61s,"When user clicks on Right/Left arrow of widget, currently one product at a time moves.","When user clicks on Right/Left arrow, all product should move and new set of product should appear. Don't move it one by one.

Scenario 1:  Total 14 products are there then seven will be displayed by default and then on next click next set of seven should appear.

Scenario 2: Total 10 products are there then seven will be displayed by default and then on next click rest 3 will be included and 4 will be from old list.

Please let me know if any clarification needed.",,,,0,"12/09/2016 09:18:52 ","04/10/2016 10:45:23 "
259,"Notification for Dispatched and Delivered  order  is not appearing in notification tab.",desktop-prod,"Not a Bug",Critical,Critical,Functional,Always,"Nikhil Teredesai",sanketmore,,,,,,0,"16/09/2016 11:15:42 ","18/05/2017 15:01:20 "
261,"enrich review questions in not coming in review popup",desktop-prod,"Not a Bug",High,Major,Functional,Always,"Nirali Thakkar","Varun Bhardwaj","enrich review questions in not coming in review popup","enrich review questions must come",,"Windows PC Lenovo Generic/All Windows 8 Chrome Latest",,0,"20/09/2016 10:22:35 ","04/10/2016 10:47:03 "
262,"User is not able to search Brand",desktop-prod,Closed,High,Major,Functional,Always,vikram1,"Varun Bhardwaj","When user mousehovers on Brand and search for any Brand, search results are not coming","Search results are not coming","1. Go to Home page; 2. Mousehover on Brand on mega menu; 3. Search for any brand","Windows PC",,0,"20/09/2016 10:52:36 ","04/10/2016 11:03:09 "
263,"Nothing is happening upon providing PIN CODE",desktop-prod,Closed,High,Critical,Functional,Always,vikram1,"Varun Bhardwaj","When user provides a pincode on product detail page to check if product is devlierable or not, it doesnt reflect anything.","It should reflect a message saying if product is deliverable or not","1. Go to product detail page and provide a pincode","Windows PC",,0,"20/09/2016 10:59:47 ","04/10/2016 11:20:39 "
264,"Notify me message distorting [refer the screenshot]",desktop-prod,Resolved,High,Major,Functional,Always,vikram1,"Varun Bhardwaj","Notify me message distorting [refer the screenshot]","The message which is shown after clicking on notifiy me should be proper","1. GO to oos product's detail page; 2. Click on 'notify me' button","Windows PC",,0,"20/09/2016 11:05:01 ","16/12/2016 10:21:30 "
265,"brand search is not working on live website",desktop-prod,Closed,High,Major,Functional,Always,"Nirali Thakkar","Varun Bhardwaj","brand search is not working on live website",,,"Windows PC Lenovo Generic/All Windows 8",,0,"20/09/2016 11:46:44 ","04/10/2016 11:34:04 "
272,"Design is messed up when clicked on notify me ",desktop-prod,Closed,High,Major,Visual,Always,"Nirali Thakkar","Varun Bhardwaj","Design is messed up when clicked on notify me ",,"1. search for out of stock products; 2. click on notify me","Windows PC Lenovo Generic/All Windows 8 Chrome Latest",,0,"21/09/2016 06:31:59 ","04/10/2016 11:34:20 "
305,"IE bugs for Product List page",desktop-prod,Resolved,High,Major,Functional,Always,vikram1,salman61s,"1: Sentences of 'search by category', search by brand in filters are getting cut 

2: Some of the products are not being shown on list page

3: Rating stars are getting cut on top widget[best sellers..] on list  page

4: Add to cart button is being showed at different places [refer the screenshots]

5: Prices are getting shown at different places

Screenshots are attached for the reference.",,,"Windows PC",,0,"23/09/2016 10:22:15 ","01/12/2016 11:23:35 "
314,"Dont know option under Skin type for gender female under beauty profile is not visible.",desktop-prod,Closed,High,Major,Visual,Always,archana,"Jugal SA","issue screenshot :http://screencast.com/t/YxvKhDcK91E8","Dont know option  should be visible. text size should be uniform","1. open beaity profile quiz with female gender.; 2. check skin type tab ","Windows Phone",,1,"27/09/2016 05:29:48 ","17/10/2016 12:32:56 "
315,"For questions with no option selected, button should be 'Save & proceed' instead of 'Update & Continue'.",desktop-prod,Resolved,Low,Minor,Functional,Always,vikram1,"Jugal SA","For questions with no option selected, button is appearing as  'Update & Continue'.","Button should appear as 'save and proceed'","1. Go to beauty profile and complete the quiz except one and log out; 2. Again login and go to that unanswered question","Windows PC",,0,"27/09/2016 08:03:08 ","13/10/2016 07:02:11 "
316,"For few questions, double click causes deselection while on few double it does not.",desktop-prod,Resolved,Low,Minor,Functional,Always,vikram1,"Jugal SA","For the questions which are allowing only one selection i.e. (choose any one), double click disselection is not working","It should get disselected if double clicked","1. Go to beauty profile; 2. Go to questions which are having 'choose any one' ; 3. Perform double click on answers","Windows PC",,0,"27/09/2016 08:05:20 ","13/10/2016 07:01:59 "
317,"Your Skin Type (female)  - Don't Know image is not proper.",desktop-prod,Resolved,Low,Minor,Functional,Always,vikram1,"Jugal SA","Your Skin Type (female)  - Don't Know image is not proper.","Your Skin Type (female)  - Don't Know image should be  proper.",,"Windows PC",,0,"27/09/2016 08:07:38 ","13/10/2016 07:01:40 "
318,"Error message should be shown in 'Red'",desktop-prod,Resolved,Low,Minor,Functional,Always,vikram1,"Jugal SA","Error message should be shown in 'Red'","Error message should be shown in 'Red'","1. Go Beauty profile quiz; 2. Click on save and proceed without selecting anything","Windows PC",,0,"27/09/2016 08:08:51 ","13/10/2016 07:01:19 "
319,"If user deselects multiple questions and saves few, the beauty profile %age shown is that of the old one",desktop-prod,Resolved,High,Major,Functional,Always,vikram1,"Jugal SA","If user deselects multiple questions and saves few, the beauty profile %age shown is that of the old one (i.e. deselected questions are also considered as answered questions in %age calculation)","beauty profile %age Should get updated if user deselects answers","1. Go to beauty profile and deselects  already answered questions; 2. See the percentage remains as it is","Windows PC",,0,"27/09/2016 08:11:37 ","13/10/2016 06:51:38 "
320,"Every time user navigates from beauty profile to other pages, the alert pop up is shown even when he does not make any change",desktop-prod,Resolved,High,Major,Functional,Always,vikram1,"Jugal SA","Every time user navigates from beauty profile to other pages, the alert pop up is shown even when he does not make any change on the page. ","This should only appear when user has any 'unsaved changes' on the page. Simple switching among abs should not throw the alert",,"Windows PC",,0,"27/09/2016 08:12:47 ","13/10/2016 06:51:54 "
332,"Double thank you message is coming twice when user completes quiz 100%.",desktop-prod,Closed,Medium,Major,Visual,Always,archana,"Jugal SA","when user completes all question and clicks on save and fiinish button user is getting two thank you message. (one for updating last question and one for complteting profile 100 %)","only one thank you message should appear","1. open beauty profile quiz; 2. complete it by 100%; 3. And then complete last question and click on save and finish/update and finish",,,1,"28/09/2016 13:49:37 ","17/10/2016 12:33:22 "
338,"Images are appearing stretched in cancelled mail, if order is cancelled from new order details page in mobile sit",desktop-prod,New,Medium,Minor,Usability,Always,vikram1,"Arvind Kurmi","User cancelling order from new order details page on mobile site, images of some products are appearing stretched in mail","Images should be proper","1. Place an order and cancel it from new order details page; 2. Check your mail for this cancelled order","Android Phone",,1,"29/09/2016 10:03:46 ","07/10/2016 11:19:00 "
369,"Facebook login is not working.",desktop-prod,Closed,Critical,Critical,Functional,Always,archana,"Varun Bhardwaj",,"User should allowed to do facebook login.","1. click on book; 2. click on any service; 3. open salon; 4. now click on login; 5. clcik on fb login",,,0,"03/10/2016 08:53:30 ","17/05/2017 14:20:38 "
378,"One of the saved cards should get auto -selected (first in sequence) with focus on cvv and 'make payment' button showing up.",desktop-prod,New,Medium,Trivial,Functional,Always,vikram1,,"If user has a saved card or multiple cards, when user is navigated to checkout page, the first saved card should be shown selected with focus on cvv and make payment button shown up","If user has a saved card or multiple cards, when user is navigated to checkout page, the first saved card should be shown selected with focus on cvv and make payment button shown up","1. Go to checkout page having multiple saved cards; 2. The first saved card should be shown seleccted with focus on cvv and make payment button shown up","Windows PC",,0,"05/10/2016 07:25:38 ","10/02/2017 07:38:47 "
